ALAVA;12,50%;1
ALBACETE;25,40%;2
ALICANTE;14,10%;3
ALMERIA;20,80%;4
ASTURIAS;30,50%;33
AVILA;22,60%;5
BADAJOZ;16,90%;6
BALEARES;9,00%;7
BARCELONA;12,90%;8
BIZKAIA;13,90%;48
BURGOS;16,80%;9
CACERES;17,00%;10
CADIZ;17,60%;11
CANTABRIA;18,90%;39
CASTELLON;9,90%;12
CEUTA;11,00%;51
CIUDAD REAL;14,80%;13
CORDOBA;15,30%;14
CORU—A;19,20%;15
CUENCA;18,00%;16
ESPA—A;16,10%;
GIPUZKOA;9,40%;20
GIRONA;8,70%;17
GRANADA;21,20%;18
GUADALAJARA;16,00%;19
HUELVA;18,00%;21
HUESCA;7,20%;22
JAEêN;19,10%;23
LAS PALMAS;16,30%;35
LEON;28,90%;24
LLEIDA;6,90%;25
LUGO;28,50%;27
MADRID;16,30%;28
MALAGA;14,60%;29
MELILLA;9,60%;52
MURCIA;22,90%;30
NAVARRA;9,70%;31
ORENSE;28,90%;32
PALENCIA;18,30%;34
PONTEVEDRA;20,90%;36
RIOJA;15,10%;26
SALAMANCA;24,00%;37
SEGOVIA;12,60%;40
SEVILLA;18,10%;41
SORIA;13,50%;42
STA. CRUZ DE TENERIFE;20,60%;38
TARRAGONA;10,00%;43
TERUEL;9,50%;44
TOLEDO;18,10%;45
VALENCIA;12,60%;46
VALLADOLID;18,60%;47
ZAMORA;19,70%;49
ZARAGOZA;10,10%;50
